"","date","state","city","candidate","Event.Type","year"
"788",2024-08-29,"GA","Savannah","Walz","Bus Tour & Campaign Visit",2024
"789",2024-08-29,"WI","La Crosse","Trump","Speech & Town Hall",2024
"790",2024-08-29,"MI","Potterville","Trump","Speech & Town Hall",2024
"791",2024-08-29,"GA","Savannah","Harris","Bus Tour",2024
"792",2024-08-30,"PA","Johnstown","Trump","Rally",2024
"793",2024-09-01,"MN","Falcon Heights","Walz","Campaign Visit at Minnesota State Fair",2024
"794",2024-09-02,"WI","Milwaukee","Walz","Campaign Visit",2024
"795",2024-09-02,"PA","Pittsburgh","Harris","Campaign Event & Speech",2024
"796",2024-09-02,"MI","Detroit","Harris","Campaign Event & Speech",2024
"797",2024-09-04,"AZ","Mesa","Vance","Rally",2024
"798",2024-09-04,"PA","Pequea, Pittsburgh, Moon Township, Dawson","Walz","Campaign Visit",2024
"799",2024-09-04,"PA","Harrisburg","Trump","Town Hall",2024
"800",2024-09-04,"NH","North Hampton, Portsmouth","Harris","Rally & Campaign Visit",2024
"801",2024-09-05,"AZ","Phoenix","Vance","Rally",2024
"802",2024-09-05,"PA","Erie","Walz","Rally",2024
"803",2024-09-06,"CA","San Diego","Vance","Campaign Visit",2024
"804",2024-09-06,"NC","Charlotte","Trump","Speech",2024
"805",2024-09-07,"WI","Mosinee","Trump","Rally",2024
"806",2024-09-07,"PA","Pittsburgh","Harris","Campaign Event",2024
"807",2024-09-07,"DC","Washington","Walz","Speech at Human Rights Campaign Dinner",2024
"808",2024-09-09,"NV","Reno","Walz","Campaign Visit",2024
"809",2024-09-10,"PA","Philadelphia","Harris","Debate",2024
"810",2024-09-10,"PA","Philadelphia","Trump","Debate",2024
"811",2024-09-10,"AZ","Phoenix","Walz","Campaign Visit",2024
"812",2024-09-12,"AZ","Tucson","Trump","Rally",2024
"813",2024-09-12,"MI","Grand Rapids","Walz","Rally",2024
"814",2024-09-12,"NC","Charlotte, Greensboro","Harris","Rallies",2024
"815",2024-09-13,"NV","Las Vegas","Trump","Rally",2024
"816",2024-09-13,"PA","Wilkes-Barre, Johnstown","Harris","Rally & Campaign Visit",2024
"817",2024-09-13,"WI","Lansing","Walz","Campaign Visits",2024
"818",2024-09-13,"MI","Grand Rapids","Walz","Campaign Visits",2024
"819",2024-09-14,"WI","Superior","Walz","Rally",2024
"820",2024-09-14,"NC","Greenville","Vance","College football campaign visit",2024
"821",2024-09-14,"DC","Washington","Harris","Speech at CBC Phoenix Awards",2024
"822",2024-09-16,"GA","Atlanta","Vance","Speech at Georgia Freedom and Faith Dinner",2024
"823",2024-09-17,"MI","Sparta","Vance","Rallies",2024
"824",2024-09-17,"WI","Eau Claire","Vance","Rallies",2024
"825",2024-09-17,"NC","Asheville","Walz","Rally & Campaign Visit",2024
"826",2024-09-17,"MI","Flint","Trump","Town Hall",2024
"827",2024-09-17,"GA","Macon","Walz","Rally & Campaign Visit",2024
"828",2024-09-17,"PA","Philadelphia","Harris","Campaign Visit at Community College of Philadelphia",2024
"829",2024-09-18,"DC","Washington","Harris","Speech at Congressional Hispanic Caucus Institute's Leadership Conference",2024
"830",2024-09-18,"NY","Uniondale","Trump","Rally",2024
"831",2024-09-19,"MI","Oakland County","Harris","Campaign Event: ""Unite for America Rally"" with Oprah Winfrey",2024
"832",2024-09-19,"DC","Washington","Trump","Speech at Israeli American National Conference",2024
"833",2024-09-20,"GA","Atlanta","Harris","Speech & Rally",2024
"834",2024-09-20,"WI","Madison","Harris","Speech & Rally",2024
"835",2024-09-21,"PA","Leesport","Vance","Rally",2024
"836",2024-09-21,"PA","Bethlehem","Walz","Rally",2024
"837",2024-09-21,"PA","Leesport","Trump","Rally",2024
"838",2024-09-21,"NC","Wilmington","Harris","Rally",2024
"839",2024-09-23,"NC","Charlotte","Vance","Rally",2024
"840",2024-09-23,"NY","Brooklyn","Walz","Speech",2024
"841",2024-09-23,"PA","Smithon","Trump","Campaign Visit",2024
"842",2024-09-23,"PA","Kittanning, Smithon, Indiana","Harris","Campaign Visit, Roundtable & Rally",2024
"843",2024-09-24,"GA","Savannah","Trump","Speech",2024
"844",2024-09-25,"NC","Mint Hill","Trump","Rally",2024
"845",2024-09-25,"MI","Traverse City","Vance","Speech",2024
"846",2024-09-25,"PA","Pittsburgh","Harris","Speech",2024
"847",2024-09-26,"MI","Harbor Springs","Walz","Campaign Visit",2024
"848",2024-09-27,"MI","Walker, Warren","Trump","Speech & Town Hall",2024
"849",2024-09-27,"AZ","Douglas","Harris","Campaign Visit",2024
"850",2024-09-28,"WI","Prairie du Chien, Tuscaloosa","Harris","Speech & Campaign Appearance",2024
"851",2024-09-28,"AL","Tuscaloosa","Trump","Speech & Campaign Appearance",2024
"852",2024-09-28,"MI","Ann Arbor","Walz","Campaign Appearance",2024
"853",2024-09-28,"PA","Newtown, Monroeville","Vance","Rally and Campaign Visit",2024
"854",2024-09-29,"NV","Las Vegas","Harris","Rally",2024
"855",2024-09-29,"PA","Erie","Trump","Rally",2024
"856",2024-09-30,"GA","Valdosta","Trump","Public Appearance & Remarks",2024
"857",2024-10-01,"WI","Waunakee, Milwaukee","Trump","Speech",2024
"858",2024-10-01,"NY","New York City","Walz","Debate",2024
"859",2024-10-01,"NY","New York City","Vance","Debate",2024
"860",2024-10-02,"MI","Auburn Hills, Marne","Vance","Speech",2024
"861",2024-10-02,"PA","York","Walz","Campaign Visit",2024
"862",2024-10-02,"GA","","Harris","Public appearance",2024
"863",2024-10-03,"WI","Ripon","Harris","Rally",2024
"864",2024-10-03,"VA","Damascus","Vance","Public appearance",2024
"865",2024-10-03,"MI","Saginaw","Trump","Rally",2024
"866",2024-10-04,"GA","Evans","Trump","Public appearance",2024
"867",2024-10-04,"GA","Linsdale","Vance","Speech",2024
"868",2024-10-04,"NC","Fayetteville","Trump","Town Hall",2024
"869",2024-10-04,"MI","Redford, Flint","Harris","Campaign stop and Rally",2024
"870",2024-10-05,"PA","Butler","Trump","Rally",2024
"871",2024-10-05,"NC","Charlotte","Harris","Public appearance",2024
"872",2024-10-06,"WI","Juneau","Trump","Rally",2024
"873",2024-10-07,"NY","Queens","Trump","Public appearance",2024
"874",2024-10-08,"NV","Reno","Walz","Campaign Visit",2024
"875",2024-10-08,"MI","Detroit","Vance","Campaign Visit",2024
"876",2024-10-09,"AZ","Chandler, Tucson","Walz","Campaign Visit & Rally",2024
"877",2024-10-09,"PA","Reading, Scranton","Trump","Rally & Speech",2024
"878",2024-10-09,"AZ","Tucson, Mesa","Vance","Rally & Speech",2024
"879",2024-10-10,"AZ","Phoenix","Harris","Rally",2024
"880",2024-10-10,"MI","Detroit","Trump","Speech",2024
"881",2024-10-10,"NC","Greensboro","Vance","Town Hall",2024
"882",2024-10-11,"AZ","Scottsdale","Harris","Campaign Event",2024
"883",2024-10-11,"CO","Aurora","Trump","Rally",2024
"884",2024-10-11,"NV","Reno","Trump","Rally",2024
"885",2024-10-11,"MI","Warren","Walz","Speech & Campaign Appearance",2024
"886",2024-10-11,"MN","Mankato","Walz","Campaign Appearance",2024
"887",2024-10-11,"GA","Lawrenceville","Vance","Campaign Visit",2024
"888",2024-10-12,"NC","Raleigh","Harris","Campaign Visit",2024
"889",2024-10-12,"CA","Coachella","Trump","Rally & Roundtable",2024
"890",2024-10-12,"MN","Sleepy Eye","Walz","Campaign Appearance",2024
"891",2024-10-12,"PA","Johnstown, Reading","Vance","Speech & Town Hall",2024
"892",2024-10-12,"NV","Las Vegas","Trump","Roundtable with Latino voters",2024
"893",2024-10-13,"NC","Concord","Vance","Campaign Appearance",2024
"894",2024-10-13,"AZ","Prescott Valley","Trump","Rally",2024
"895",2024-10-13,"NC","Greenville","Harris","Rally",2024
"896",2024-10-14,"MN","Minneapolis","Vance","Campaign Visit",2024
"897",2024-10-14,"WI","Eau Claire, Green Bay","Walz","Campaign Visit",2024
"898",2024-10-14,"PA","Oaks","Trump","Town Hall",2024
"899",2024-10-14,"PA","Erie","Harris","Rally",2024
"900",2024-10-15,"PA","Volant, Butler, Pittsburgh","Walz","Campaign Visit",2024
"901",2024-10-15,"GA","Atlanta","Trump","Speech",2024
"902",2024-10-15,"MI","Detroit","Harris","Campaign Visit",2024
